0,0
0.809,0
0.826,0
0.846,0
0.866,0
0.885,0
0.902,0.001
0.92,0.002
0.939,0.005
0.954,0.008
0.969,0.012
0.983,0.017
1,0.022
1.011,0.029
1.022,0.038
1.033,0.046
1.043,0.053
1.058,0.058
1.075,0.064
1.099,0.068
1.123,0.071
1.148,0.073
1.174,0.074
1.198,0.075
1.217,0.076
1.236,0.076
1.253,0.077
1.272,0.079
1.295,0.081
1.318,0.083
1.339,0.085
1.362,0.086
1.387,0.087
1.406,0.088
1.424,0.088
1.448,0.089
1.47,0.089
1.494,0.09
1.516,0.09
1.543,0.089
1.572,0.09
1.598,0.09
1.628,0.091
1.656,0.09
1.688,0.09
1.719,0.089
1.752,0.088
1.785,0.088
1.818,0.087
1.847,0.086
1.874,0.085
1.902,0.084
1.926,0.083
1.95,0.082
1.97,0.082
1.993,0.08
